File	Row	OriginalMID	FinalMID	Manufacturer	Address
999-32980463-I.xlsx	136	CNGANHAI4GAN	CNGANHAI1GAN	Ganzhou Hairongzhe Garment Co., Ltd.	4th Floor, Building 1, Luoqi Apparel, Huoju West Road, Jiangxi Ganxian Economic Development Zone, Ganxian District, Ganzhou City, Jiangxi Province, China
999-32980463-I.xlsx	139	CNQINGUA106QIN	CNQINGUA10QIN	Qingyuan Guanhe Digital Printing Technology Co., Ltd.	No. 10-6, Building A2-7, Legeyan Reservoir, Shijiao Town, Qingcheng District, Qingyuan City, Guangdong Province, China
999-32980463-I.xlsx	140	CNGUAHUA106GUA	CNGUAHUA1GUA	Guangzhou Huatong Garment Co., Ltd.	Building 1, Guangzhou Wanshishun Trading Co., Ltd., No. 106 Fengze East Road, Nansha Street, Nansha District, Guangzhou City, Guangdong Province, China
999-32980463-I.xlsx	142	CNYIWXIA14JIN	CNYIWXIA2JIN	Yiwu Xianyu Jewelry Co., Ltd.	Floor 2, Unit 2, Building 14, Area 2, Bai'antou, Zhenxing East Road, Futian Street, Yiwu City, Jinhua City, Zhejiang Province, China
999-32980463-I.xlsx	143	CNGUADIA3GUA	CNGUADIA6GUA	Guangzhou Diao Clothing Co., Ltd.	3rd Floor, Building 6, Nancun, Nancun Town, Panyu District, Guangzhou City, Guangdong Province, China
999-32980463-I.xlsx	145	CNGUAZHO106GUA	CNGUAZHO1GUA	Guangzhou Zhongxin Garment Co., Ltd.	Building 1, Guangzhou Wanshishun Trading Co., Ltd., No. 106 Fengze East Road, Nansha Street, Nansha District, Guangzhou City, Guangdong Province, China
999-32980463-I.xlsx	147	CNGUAYIY23GUA	CNGUAYIY2GUA	Guangzhou Yiya Clothing Co., Ltd.	5th Floor, Building 2, Leho Food Group Co., Ltd. (Panyu Branch), No. 23, Xinxing Road, Dalongzhen, Panyu District, Guangzhou City, Guangdong Province, China
999-32980463-I.xlsx	161	CNGUATIA3GUA	CNGUATIA1GUA	Guangzhou Tianyi Clothing Co., Ltd.	3rd Floor, Building F, Shanghai Qianbei'er E-commerce Co., Ltd. Guangzhou Branch, No. 1 Baiyunhu Street, Baiyunhu Street, Baiyun District, Guangzhou City, Guangdong Province, China
999-32980463-I.xlsx	168	CNFOSLUO21FOS	CNFOSLUO3FOS	Foshan Luokexixi Clothing Technology Co., Ltd.	3rd Floor, Building B, Yanbuxiaoshi, 21 North Road, Dali Town, Nanhai District, Foshan City, Guangdong Province, China
999-32980463-I.xlsx	173	CNGUAXIN18GUA	CNGUAXIN5GUA	Guangzhou Xingerxue Technology Co., Ltd.	1st Floor, Building 5, Yidao Caotang, 18 Huolushan South Road, Changxing Street, Tianhe District, Guangzhou City, Guangdong Province, China
999-32980463-I.xlsx	179	CNGUACHE1432GUA	CNGUACHE101GUA	Guangzhou Chengyi Clothing Co., Ltd.	Room 101, No. 1432, Guangzhou Avenue Middle, Linhe Street, Tianhe District, Guangzhou City, Guangdong Province, China
999-32980463-I.xlsx	182	CNSHAYIQ62LIN	CNSHAYIQ3LIN	Shanxi Yiqutong Trading Co., Ltd.	No. 62, Building 3, Residential Quarter, Linfen Highway Branch, Xinsi Street, Yaodu District, Linfen City, Shanxi Province, China
999-32980463-I.xlsx	187	CNYIWCHA729JIN	CNYIWCHA2JIN	Yiwu Chanchan Technology Co., Ltd.	4th Floor, Building 2, Wanxing Luggage, 729 Danxi North Road, Beiyuan Street, Yiwu City, Jinhua City, Zhejiang Province, China
999-32980463-I.xlsx	191	CNSHADAN324SHA	CNSHADAN3SHA	Shantou Danmoxue Clothing Co., Ltd.	3rd Floor, Shengxiong Glass Showroom, National Highway 324, Chenghua Street, Chenghai District, Shantou City, Guangdong Province, China
999-32980463-I.xlsx	193	CNCHAHON88GUA	CNCHAHON2GUA	Changde Hongyue Clothing Co., Ltd.	Building 2, Shengde Home Customized Furniture, No. 88, Ximeichi Road, Lixi Street, Li County, Changde City, Hunan Province, China
999-32980463-I.xlsx	195	CNGUAAIM1202GUA	CNGUAAIM18GUA	Guangzhou Aimeimei Clothing Co., Ltd.	No. 18, Building H, Lezong Supermarket (Tianyuan Road Store), 1202 Tianyuan Road, Longdong Street, Tianhe District, Guangzhou City, Guangdong Province, China
999-32980463-I.xlsx	199	CNGUAMEI23GUA	CNGUAMEI2GUA	Guangzhou Meiqi Garment Co., Ltd.	5th Floor, Building 2, Leho Food Group Co., Ltd. (Panyu Branch), No. 23, Xinxing Road, Dalongstreet, Panyu District, Guangzhou City, Guangdong Province, China
999-32980463-I.xlsx	200	CNGUAWAN193GUA	CNGUAWAN23GUA	Guangzhou Wannifen Industrial Co., Ltd.	Unit D23, Jinxiang Building, 193 Zhanqian Road, Zhanqian Street, Liwan District, Guangzhou City, Guangdong Province, China
999-32980463-I.xlsx	214	CNYIWFEN42JIN	CNYIWFEN5JIN	Yiwu Fengjiang Leather Goods Co., Ltd.	Floor 1, Unit 5, Building 42, Yimingzhen Fresh Milk Bar (Yiwu Futian Jiangcun Store), Futian Street, Yiwu City, Jinhua City, Zhejiang Province, China
999-32980463-I.xlsx	218	CNZHOHAO124ZHO	CNZHOHAO2ZHO	Zhongshan Haomiao Clothing Co., Ltd.	2nd Floor, Guangdong Shenweiji Textile Garment Co., Ltd., 124 Xingong Road, Shaxi Town, Zhongshan City, Zhongshan City, Guangdong Province, China
999-32980463-I.xlsx	225	CNDONQIA101DON	CNDONQIA34DON	Dongguan Qianhuang Clothing Co., Ltd.	Cainiao Station, No. 34, Taihe Road, Humen Town, Dongguan City, Guangdong Province, China (Store 101, No. 34, Taihe Road, Juqi, Humen, Dongguan) 101
999-32980463-I.xlsx	232	CNHUIHAO76HUI	CNHUIHAO1HUI	Huizhou Haosheng Clothing Co., Ltd.	Building D, Unit 1, Huizhou Haosheng Apparel Co., Ltd., 76 Lishan Road, Shiwantown, Boluo County, Huizhou City, Guangdong Province, China
999-32980463-I.xlsx	234	CNSHACOU15GAN	CNSHACOU0GAN	Shangyou County Baoyue Clothing Co., Ltd.	Shops 15 and 16, Building 18, Xilimen Doors (Youjiang Avenue Store), No. 18 Youjiang Avenue, Dongshan Town, Shangyou County, Ganzhou City, Jiangxi Province, China
999-32980463-I.xlsx	246	CNSHACHO5SHA	CNSHACHO9SHA	Shantou Chongyou Clothing Co., Ltd.	5th Floor, Kaida Building, No. 9 Fenghuangshan Road, Jinxia Street, Longhu District, Shantou City, Guangdong Province, China
999-32980463-I.xlsx	254	CNGUAXIN28GUA	CNGUAXIN3GUA	Guangzhou Xinzhaoyuan Clothing Co., Ltd.	3rd Floor, Yuling Mountain Industrial Zone, 28 Yuling Mountain 2nd Road, Xintang Town, Zengcheng District, Guangzhou City, Guangdong Province, China
999-32980463-I.xlsx	258	CNGUAXIN106GUA	CNGUAXIN1GUA	Guangzhou Xinyue Clothing Co., Ltd.	Building 1, Guangzhou Wanshishun Trading Co., Ltd., 106 Fengze East Road, Nansha Street, Nansha District, Guangzhou City, Guangdong Province, China
999-32980463-I.xlsx	260	CNBOZXUA698BOZ	CNBOZXUA6BOZ	Bozhou Xuanxi Garment Co., Ltd.	6th Floor, Tmall Auto Maintenance (Songtang River Road Store), 698 Songtang River Road, Xuege Street, Qiaocheng District, Bozhou City, Anhui Province, China
999-32980463-I.xlsx	265	CNGUAYIP63GUA	CNGUAYIP2GUA	Guangzhou Yipin Huahua Clothing Co., Ltd.	3rd Floor, Building 2, Hengsheng Industrial Park, 63 Gongye Road, Luopu Street, Panyu District, Guangzhou City, Guangdong Province, China
